# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
1909.5                  	Top	1.2395692522952827e+02	1.5976251648310560e+02	1.3794004891996590e+02
1909.5                  	Bottom	1.2240555649690839e+02	1.5811844112984045e+02	1.3914011208014765e+02
1909.5                  	circle	1.7616560868348454e+01	6.6464871488757282e+01	4.4685574614612769e+01
1910                    	Top	1.2395648797811786e+02	1.5975872364791419e+02	1.3793549369476736e+02
1910                    	Bottom	1.2240777776465936e+02	1.5811610320138576e+02	1.3914466240044854e+02
1910                    	circle	1.7760349249555524e+01	6.6496243843092941e+01	4.4750299707408722e+01
1910.5                  	Top	1.2395382444086171e+02	1.5975805035959752e+02	1.3793207357370767e+02
1910.5                  	Bottom	1.2241071054600486e+02	1.5811356789384828e+02	1.3914830046054732e+02
1910.5                  	circle	1.7082349144249392e+01	6.6494331188894790e+01	4.4762719966638379e+01
1911                    	Top	1.2395051506004751e+02	1.5976086882686485e+02	1.3793156225811961e+02
1911                    	Bottom	1.2241286283184427e+02	1.5811166799231344e+02	1.3914933019757734e+02
1911                    	circle	1.5782102279206157e+01	6.6458345146104733e+01	4.4714006375901398e+01
1911.5                  	Top	1.2394795088708590e+02	1.5976565785382439e+02	1.3793414735395461e+02
1911.5                  	Bottom	1.2241306860353352e+02	1.5811130290907565e+02	1.3914717094803402e+02
1911.5                  	circle	1.4395243553325002e+01	6.6405498239154127e+01	4.4622508728692075e+01
1912                    	Top	1.2394711953398998e+02	1.5977058060443491e+02	1.3793844589100908e+02
1912                    	Bottom	1.2241171812163772e+02	1.5811305836098944e+02	1.3914301839681593e+02
1912                    	circle	1.3592430174361771e+01	6.6360547907519106e+01	4.4534118084017656e+01
1912.5                  	Top	1.2394857581248003e+02	1.5977300576590966e+02	1.3794261588618335e+02
1912.5                  	Bottom	1.2240910471894712e+02	1.5811577598721550e+02	1.3913862156385298e+02
